,ADI,ALV,ANC,ASE,ASU,BAE,BAT,BNE,BOT,CAS,CCT,CEN,COP,CPV,CRZ,DEM,FER,FIN,IMI,IND,JOR,MON,NPE,PAU,PLA,RIO,RPE,RUD,STA,TAB,TQC,TTT,VAR,ZZL
ADI,0,5,2,0,9,0,1,0,0,3,0,8,8,0,0,0,0,0,0,2,1,0,0,0,3,0,0,2,0,0,0,0,0,0
ALV,5,0,3,0,9,3,6,0,0,9,0,11,6,0,0,4,0,0,0,2,1,4,2,1,2,0,0,3,1,0,0,0,0,0
ANC,2,3,0,0,6,3,0,1,3,4,0,17,2,0,0,4,5,2,0,2,3,5,1,5,4,2,0,17,2,5,0,0,0,0
ASE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASU,9,9,6,0,0,0,2,0,0,9,0,15,10,0,0,2,0,0,0,3,2,1,1,1,5,0,0,6,1,1,0,0,0,0
BAE,0,3,3,0,0,0,3,0,0,2,0,11,0,0,0,3,3,0,0,1,1,8,2,1,1,0,0,3,1,1,0,0,0,0
BAT,1,6,0,0,2,3,0,0,0,5,0,5,1,0,0,5,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
BNE,0,0,1,0,0,0,0,0,4,0,0,3,0,0,0,2,3,2,0,0,0,3,1,0,0,2,0,1,0,0,0,0,0,0
BOT,0,0,3,0,0,0,0,4,0,0,0,6,0,0,0,5,5,3,0,0,0,5,1,0,0,4,0,3,0,1,0,0,0,0
CAS,3,9,4,0,9,2,5,0,0,0,0,11,5,0,0,6,0,0,0,1,0,3,2,1,1,0,0,4,1,0,0,0,0,0
CCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEN,8,11,17,0,15,11,5,3,6,11,0,0,9,0,0,13,16,3,0,5,7,22,10,4,9,4,0,16,7,4,0,0,0,0
COP,8,6,2,0,10,0,1,0,0,5,0,9,0,0,0,0,0,0,0,2,1,1,1,0,3,0,0,2,1,0,0,0,0,0
CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CRZ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DEM,0,4,4,0,2,3,5,2,5,6,0,13,0,0,0,0,4,2,0,0,0,6,2,0,0,3,0,4,0,1,0,0,0,0
FER,0,0,5,0,0,3,0,3,5,0,0,16,0,0,0,4,0,3,0,1,2,14,5,1,2,4,0,5,3,1,0,0,0,0
FIN,0,0,2,0,0,0,0,2,3,0,0,3,0,0,0,2,3,0,0,0,0,3,1,0,0,4,0,2,0,0,0,0,0,0
IMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,2,2,2,0,3,1,0,0,0,1,0,5,2,0,0,0,1,0,0,0,4,2,0,0,5,0,0,2,0,0,0,0,0,0
JOR,1,1,3,0,2,1,0,0,0,0,0,7,1,0,0,0,2,0,0,4,0,3,0,2,6,0,0,3,1,1,0,0,0,0
MON,0,4,5,0,1,8,3,3,5,3,0,22,1,0,0,6,14,3,0,2,3,0,11,0,3,4,0,5,4,0,0,0,0,0
NPE,0,2,1,0,1,2,1,1,1,2,0,10,1,0,0,2,5,1,0,0,0,11,1,1,0,1,0,1,7,1,0,0,0,0
PAU,0,1,5,0,1,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,5,2,3,0,0,0,0
PLA,3,2,4,0,5,1,0,0,0,1,0,9,3,0,0,0,2,0,0,5,6,3,0,1,0,0,0,4,0,1,0,0,0,0
RIO,0,0,2,0,0,0,0,2,4,0,0,4,0,0,0,3,4,4,0,0,0,4,1,0,0,0,0,2,0,0,0,0,3,1
RPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUD,2,3,17,0,6,3,0,1,3,4,0,16,2,0,0,4,5,2,0,2,3,5,1,5,4,2,0,0,2,5,0,0,0,0
STA,0,1,2,0,1,1,0,0,0,1,0,7,1,0,0,0,3,0,0,0,1,4,7,2,0,0,0,2,0,2,0,0,0,0
TAB,0,0,5,0,1,1,0,0,1,0,0,4,0,0,0,1,1,0,0,0,1,0,1,3,1,0,0,5,2,0,0,0,0,0
TQC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
ZZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
